fecha_conteo,dia_conteo,mes_conteo,anio_conteo,ubicacion_conteo,longitud_conteo,latitud_conteo,comuna_conteo,cantidad_carriles_via_conteos,especificacion_via_conteos,tipo_circulacion_via_conteos,sentido_circulacion_conteo,conteo_vehiculos
2025-01-03,3,1,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,26667
2025-01-10,10,1,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,27674
2025-01-17,17,1,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,26007
2025-01-24,24,1,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,25205
2025-01-31,31,1,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,29462
2025-02-07,7,2,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,32620
2025-02-14,14,2,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,31230
2025-02-21,21,2,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,28277
2025-02-28,28,2,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,28257
2025-03-06,6,3,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,29773
2025-03-13,13,3,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,30469
2025-03-20,20,3,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,28081
2025-03-27,27,3,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,32124
2025-04-03,3,4,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,30424
2025-04-10,10,4,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,24960
2025-04-17,17,4,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,28947
2025-04-24,24,4,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,28850
2025-05-01,1,5,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,23161
2025-05-08,8,5,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,27685
2025-05-15,15,5,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,27052
2025-05-22,22,5,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,26032
2025-05-29,29,5,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,26680
2025-06-05,5,6,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,32868
2025-06-12,12,6,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,33539
2025-06-19,19,6,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,31559
2025-06-26,26,6,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,31793
2025-07-03,3,7,2025,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,4,calle_avenida,doble,oeste,30940
