calle,x0,y0,hora,cantidad
RIVADAVIA AV. 4987,-58.43608,-34.618047,12,10
CORDOBA AV. 1147,-58.383217,-34.599039,14,5
RIVADAVIA AV. 4987,-58.43608,-34.618047,13,13
ENTRE RIOS AV. 926,-58.391557,-34.619431,4,1
CORDOBA AV. 1749,-58.392148,-34.599512,7,6
CORDOBA AV. 3143,-58.410998,-34.597969,7,7
CORDOBA AV. 2523,-58.402911,-34.59879,15,5
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,20,21
CORDOBA AV. 2801,-58.407164,-34.597965,18,9
CORDOBA AV. 1749,-58.392148,-34.599512,11,6
CORDOBA AV. 1980,-58.395434,-34.599776,11,10
CORDOBA AV. 1980,-58.395434,-34.599776,5,5
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,6,20
CORDOBA AV. 3143,-58.410998,-34.597969,8,4
CORDOBA AV. 1749,-58.392148,-34.599512,8,5
PUEYRREDON AV. 214,-58.406212,-34.607467,7,25
PUEYRREDON AV. 367,-58.40571,-34.605973,20,12
SANTA FE AV. 2622,-58.403884,-34.594047,15,1
SANTA FE AV. 2622,-58.403884,-34.594047,18,1
PUEYRREDON AV. 214,-58.406212,-34.607467,16,36
CORDOBA AV. 3329,-58.413685,-34.597847,7,6
CORDOBA AV. 3647,-58.417813,-34.597727,16,5
CORRIENTES AV. 5220,-58.439127,-34.59969,8,5
CASEROS AV. 3020,-58.406358,-34.637334,11,2
RIVADAVIA AV. 6626,-58.459176,-34.62777,13,15
RIVADAVIA AV. 10524,-58.511786,-34.639436,4,1
RIVADAVIA AV. 9618,-58.499769,-34.637578,4,5
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,15,14
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,5,5
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,17,12
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,9,16
PUEYRREDON AV. 1418,-58.402311,-34.594121,7,5
BELGRANO AV. 324,-58.370911,-34.61249,8,7
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,4,1
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,4,1
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,14,3
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,14,4
RIVADAVIA AV. 10524,-58.511786,-34.639436,13,4
RIVADAVIA AV. 10524,-58.511786,-34.639436,13,6
RIVADAVIA AV. 10524,-58.511786,-34.639436,14,3
RIVADAVIA AV. 10524,-58.511786,-34.639436,17,2
PUEYRREDON AV. 1418,-58.402311,-34.594121,17,3
PUEYRREDON AV. 1418,-58.402311,-34.594121,12,5
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,8,2
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,20,3
RABANAL FRANCISCO INTENDENTE AV. 1323,-58.417658,-34.654886,7,6
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,14,10
SANTA FE AV. 4650,-58.425858,-34.578448,18,3
RIVADAVIA AV. 2775,-58.405518,-34.610013,18,9
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,20,1
GAONA AV. 2300,-58.459429,-34.613877,12,1
CORRIENTES AV. 6210,-58.448402,-34.591075,11,6
LIMA 1365,-58.381495,-34.624262,11,23
BELGRANO AV. 324,-58.370911,-34.61249,6,9
CORDOBA AV. 2801,-58.407164,-34.597965,9,10
CORDOBA AV. 1980,-58.395434,-34.599776,11,13
CORDOBA AV. 1980,-58.395434,-34.599776,15,9
CORDOBA AV. 3329,-58.413685,-34.597847,18,5
