WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4830650630743 -34.5459142733122,-58.483802751247 -34.5463004146284))";1;ARIAS;CALLE;1111;415;43-063;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4832660387732 -34.547009526559,-58.4828955923269 -34.5468147911707,-58.4825284819167 -34.5466206783278))";2;RAMALLO;CALLE;19002;471;43-063;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4842286581195 -34.5443840607025,-58.4849670865272 -34.5447679413801))";3;PICO;CALLE;17074;316;43-065;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4844310081668 -34.5454737746305,-58.4840979807765 -34.5452990661747,-58.4836937077826 -34.5450896988641))";4;DEHEZA;CALLE;4017;362;43-065;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4776305363626 -34.5528341523826,-58.4769849464608 -34.5536813447326))";5;CONDE;CALLE;3153;1257;43-068;izquierdo;3602 - 3700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4774641867618 -34.551580341982,-58.4782096627084 -34.551972487792))";6;MANZANARES;CALLE;13026;1036;43-069;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4776778282159 -34.5526705539459,-58.4769337784489 -34.5522781794179))";7;JARAMILLO;CALLE;10005;1136;43-069;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4782324578502 -34.5520441039276,-58.4777682395851 -34.5526533008297))";8;CONDE;CALLE;3153;1137;43-069;izquierdo;3702 - 3800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4798152011044 -34.5484927051597,-58.4805543278429 -34.5488833165518))";9;BESARES;CALLE;2073;649;43-071;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.479343921972 -34.5490240503313,-58.4797454816387 -34.5484938433477))";10;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;671;43-071;izquierdo;4102 - 4200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4798150738763 -34.5483955135823,-58.4800541415307 -34.5480798677833))";11;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;592;43-072A;izquierdo;4202 - 4250;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4809060484352 -34.5485340611716,-58.480669910115 -34.5488475109622))";12;CONDE;CALLE;3153;650;43-072A;izquierdo;4202 - 4250;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4801105978307 -34.5480028268052,-58.4803357768038 -34.5477054926476))";13;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;554;43-072B;izquierdo;4252 - 4300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
